Kurstraeger,Strasse,PLZ,Einstufungstest,Testzeit,Telefon,E-Mail,Sprechzeiten
BAM,Löbtauer Straße 4-6,01067,nein,,,,
BBQ - Baumann Bildung und Qualifizierung GmbH,Tiergartenstraße 32,01219,nein,,,,
Bildungsinstitut des Handels e.V.,Schnorrstraße 70,01069,nach Vereinbarung,,0351 4712741,info@bdhdd.de,täglich 08:00-15:30
Bildungswerk der Sächsischen Wirtschaft gGmbH,Otto-Mohr-Straße 10,01237,nach Vereinbarung,,0351 270280,bz-dresden@bsw-mail.de,
comcenter GmbH,Hoyerswerdaer Str. 3,01099,nach Vereinbarung,,0351 8105190,info@com-dresden.de,täglich 09:00-12:00 und 13:00-15:00
DAA Deutsche Angestellten Akademie GmbH Dresden,Blumenstr. 80,01307,nach Vereinbarung,,0351 4408729,zhe.liang@daa.de,Mo-Fr 13:00-15:00
die Sprachwerkstatt GmbH,Großenhainer Str. 99,01127,nach Vereinbarung,,0351 8975940,dresden@die-sprachwerkstatt.de,täglich 09:00-14:00
difo GmbH,Pulsnitzer Str. 6,01099,nach Vereinbarung,,0179 4402672,info@dresdner-institut.com,täglich 09:00-13:00
Donner u. Partner GmbH Sachsen,Berliner Str. 11,01067,nach Vereinbarung,,0351 42603386,,täglich 09:00-16:00
Euro-Schulen GmbH Dresden-Meißen,Wiener Platz 6,01069,nach Vereinbarung vor geplanten Kursen,,0351 48451216 / 0351 48451221,,täglich 08:30-15:30
FremdSprachenSchule for everyone GmbH,Gerokstr. 20,01307,nach Vereinbarung,wöchentlich während der Öffnungszeiten,0351 3281976,info@fremdsprachenschule-foreveryone.de,Mo-Do 10:00-14:00
Grone-Bildungszentrum Thüringen gGmbH Dresden,Königsbrücker Straße 28/30,01099,nach telefonischer Vereinbarung,,0351 4495612 / 0157 80633646,dresden@grone.de,
inlingua Sprachschule Dresden GmbH & Co,Nossener Brücke 12,01187,nach Vereinbarung,,0351 494460,,täglich 08:00-16:30
IB Mitte - Internationaler Bund gGmbH,Löbtauer Straße 4-6,01067,nach Vereinbarung,,0351 28070,BZ-Dresden@ib.de,
Institut für Bildung und Sicherheit IBS,Eberswalder Str. 3,01097,nach Vereinbarung,,0351 64759960,m.passet@ibs-bildung.org / dresden@ibs-bildung.de,
KOMPASS Kompetenzen passgenau vermitteln gGmbH,Würzburger Str. 35,01187,nach Vereinbarung,,0351 47933110,,täglich 09:30-12:00
LOESERnet.com GmbH,Mohorner Str. 13,01159,nach Vereinbarung vor geplanten Kursen,,0351 47016263,dresden@loeser-net.com,
MIQR Mitteldeutsches Institut für Qualifikation und Rehabilitation,Mendelssohnallee 8,01309,nach Vereinbarung,,0351 31293330,sprachkurse-dresden@miqr.de,Mo-Do 10:00-14:00
Regionales Bildungszentrum Eckert gGmbH,Hoyerswerdaer Str. 18-20,01099,feste Zeiten,Mo und Do 16:00,0351 48484790,,
TÜV Rheinland Akademie GmbH Dresden,Enderstr. 94 Haus A 2. Etage,01277,nach Vereinbarung vor geplanten Kursen,,0351 2185914,tr-akademie-dresden3@de.tuv.com,Mi 10:00-12:00
Volkshochschule Dresden e.V. Prof. Victor Klemperer,Annenstraße 10,01067,nach Vereinbarung,,0351 254400,daf@vhs-dresden.de,Mo-Mi 09:00-12:00 / Do 15:00-18:00
